"Id"|"CityCode"|"CountryId"|"DescriptionES"|"DescriptionEN"|"DescriptionPT"|"Latitude"|"Longitude"|"ProvinceId"|"IsSearchable"|"IsSearchableBus"|"TimeZone"
1|"4AN "|204|Antioquía|Antioquía|Antioquia|36.2806317|35.64945422||1|0|
2|"4CD"|204|Capadocia|Capadocia|Capadócia|38.2905437|30.5592445||1|0|
3|"4KS"|204|Kusadasi|Kusadasi|Kusadasi|37.8556|27.2566||1|0|
4|"4KT"|204|Kahta|Kahta|Kahta|37.7855|38.6237||1|0|
5|"4MN"|204|Mardin|Mardin|Mardin|37.3115|40.7427||1|0|
6|"4PK"|204|Pamukkale|Pamukkale|Pamukkale|37.9158|29.1202||1|0|
7|AAE|56|Annaba|Annaba|Annaba|36.92|7.76||1|0|W. Central Africa Standard Time
8|AAG|26|Arapoti|Arapoti|Arapoti|-24.1485|-49.8191|BR_PR|1|0|E. South America Standard Time
9|AAH|51|Aachen|Aachen|Aachen|50.7741|6.0847||1|0|W. Europe Standard Time
10|AAL|53|Aalborg|Aalborg|Aalborg|57.0337|9.9166||1|0|Romance Standard Time
11|AAN|2|Al Ain|Al Ain|Al Ain|24.2305|55.74||1|0|Arabian Standard Time
12|AAQ|174|Anapa|Anapa|Anapa|44.8908|37.3239||1|0|Russian Standard Time
13|AAR|53|Aarhus|Aarhus|Aarhus|56.1572|10.2107||1|0|Romance Standard Time
14|ABC|62|Albacete|Albacete|Albacete|39.0003|-1.87|ES-AB|1|0|Romance Standard Time
15|ABE|212|Allentown|Allentown|Allentown|40.5962|-75.4756|PA|1|0|Eastern Standard Time
16|ABI|212|Abilene|Abilene|Abilene|32.4543|-99.7384|TX|1|0|Central Standard Time
17|ABJ|39|Abidjan|Abidjan|Abidjan|5.32|-4.04||1|0|Greenwich Standard Time
18|ABM|12|Bamaga|Bamaga|Bamaga|-10.8932|142.386||1|0|E. Australia Standard Time
19|ABQ|212|Albuquerque|Albuquerque|Albuquerque|35.1055|-106.6476|NM|1|0|Mountain Standard Time
20|ABR|212|Aberdeen|Aberdeen|Aberdeen|45.4647|-98.4678|SD|1|0|Central Standard Time
21|ABS|59|Abu Simbel|Abu Simbel|Abu Simbel|22.3372319|31.625799||1|0|Egypt Standard Time
22|ABT|176|Al Baha|Al Baha|Al Baha|20.0129|41.4677||1|0|Arab Standard Time
23|ABV|150|Abuja|Abuja|Abuja|9.0833|7.5333||1|0|W. Central Africa Standard Time
24|ABX|12|Albury|Albury|Albury|-36.06|146.92||1|0|AUS Eastern Standard Time
25|ABY|70|Albany|Albany|Albany|-35.0169|117.8916||1|0|Eastern Standard Time
26|ABZ|71|Aberdeen|Aberdeen|Aberdeen|57.1704|-2.08||1|0|GMT Standard Time
27|AC1|26|Arraial Do Cabo|Arraial Do Cabo|Arraial Do Cabo|-22.9678|-42.0285||1|0|
28|ACA|143|Acapulco|Acapulco|Acapulco|16.85|-99.916|MX_GRO|1|0|Central Standard Time (Mexico)
29|ACC|75|Accra|Accra|Accra|5.55|-0.2167||1|0|Greenwich Standard Time
30|ACE|62|Lanzarote, Islas Canarias|Lanzarote|Lanzarote|28.969|-13.5378|ES-LP|1|0|GMT Standard Time
31|ACH|38|Altenrhein|Altenrhein|Altenrhein|47.4898|9.5519||1|0|W. Europe Standard Time
32|ACI|71|Alderney|Alderney|Alderney|50.7497348|-1.9412327||1|0|GMT Standard Time
